TrafficDirection,AgreementReference,AgreementStart Date,AgreementEnd Date,Home PMNCountry,Partner PMNCountry,DiscountMethod,ServiceType,EventType,CalculationType,DiscountHome PMN(s),DiscountPartner PMN(s),DiscountRate,DiscountType,DiscountTax,DiscountCurrency,BalanceType,ChargingIncrement,LowerBound,UpperBound,BoundType,ValidFrom,ValidTo,QualifyingDirection,QualifyingService Type,QualifyingEvent Type,QualifyingVolume,QualifyingBasis,Fair UsageRate,Fair UsageThreshold,AccessFee Rate,IncrementalRate,Selected Destinations,CountryName,IMSI Cap Traffic in MB,IMSI Cap Value,IMSI Cap Currency,M2M Segment,Regular Segment
Bi-Directional,FT Europe Intragroup 2015 POL03,01-JAN-2026,30-JUN-2026,United Kingdom,Poland,End of Agreement,Data,MB,"Single Rate Effective (Voice, SMS, Data, VoLTE)","GBRME, GBROR",POL03,0.05000,Value,Net,EUR,Balanced,Actual,,,,01-JAN-26,30-JUN-26,,All,All,,,,,,,,,,,,,ALL
Bi-Directional,FT Europe Intragroup 2015 POL03,01-JAN-2026,30-JUN-2026,United Kingdom,Poland,End of Agreement,Data,MB,"Stepped/Tiered (Voice, SMS, Data, VoLTE)","GBRME, GBROR",POL03,0.01500,Value,Net,EUR,Unbalanced,Actual,0.000,30.000,YoY Total Traffic Growth %,01-JAN-26,30-JUN-26,,All,All,,,,,,,,,,,,,ALL
Bi-Directional,FT Europe Intragroup 2015 POL03,01-JAN-2026,30-JUN-2026,United Kingdom,Poland,End of Agreement,Data,MB,"Stepped/Tiered (Voice, SMS, Data, VoLTE)","GBRME, GBROR",POL03,0.01400,Value,Net,EUR,Unbalanced,Actual,30.000,60.000,YoY Total Traffic Growth %,01-JAN-26,30-JUN-26,,All,All,,,,,,,,,,,,,ALL
Bi-Directional,FT Europe Intragroup 2015 POL03,01-JAN-2026,30-JUN-2026,United Kingdom,Poland,End of Agreement,Data,MB,"Stepped/Tiered (Voice, SMS, Data, VoLTE)","GBRME, GBROR",POL03,0.01200,Value,Net,EUR,Unbalanced,Actual,60.000,90.000,YoY Total Traffic Growth %,01-JAN-26,30-JUN-26,,All,All,,,,,,,,,,,,,ALL
Bi-Directional,FT Europe Intragroup 2015 POL03,01-JAN-2026,30-JUN-2026,United Kingdom,Poland,End of Agreement,Data,MB,"Stepped/Tiered (Voice, SMS, Data, VoLTE)","GBRME, GBROR",POL03,0.01100,Value,Net,EUR,Unbalanced,Actual,90.000,120.000,YoY Total Traffic Growth %,01-JAN-26,30-JUN-26,,All,All,,,,,,,,,,,,,ALL
Bi-Directional,FT Europe Intragroup 2015 POL03,01-JAN-2026,30-JUN-2026,United Kingdom,Poland,End of Agreement,Data,MB,"Stepped/Tiered (Voice, SMS, Data, VoLTE)","GBRME, GBROR",POL03,0.01000,Value,Net,EUR,Unbalanced,Actual,120.000,,YoY Total Traffic Growth %,01-JAN-26,30-JUN-26,,All,All,,,,,,,,,,,,,ALL
Bi-Directional,FT Europe Intragroup 2015 POL03,01-JAN-2026,30-JUN-2026,United Kingdom,Poland,End of Agreement,SMS,MO,"Single Rate Effective (Voice, SMS, Data, VoLTE)","GBRME, GBROR",POL03,0.01000,Value,Net,EUR,Unbalanced,Actual,,,,01-JAN-26,30-JUN-26,,All,All,,,,,,,,,,,,,ALL
Bi-Directional,FT Europe Intragroup 2015 POL03,01-JAN-2026,30-JUN-2026,United Kingdom,Poland,End of Agreement,SMS,MO,"Single Rate Effective (Voice, SMS, Data, VoLTE)","GBRME, GBROR",POL03,0.02000,Value,Net,EUR,Balanced,Actual,,,,01-JAN-26,30-JUN-26,,All,All,,,,,,,,,,,,,ALL
Bi-Directional,FT Europe Intragroup 2015 POL03,01-JAN-2026,30-JUN-2026,United Kingdom,Poland,End of Agreement,Voice,MO,"Send or Pay Traffic (Voice, SMS, Data, VoLTE)","GBRME, GBROR",POL03,,,Net,EUR,,Actual,40.000,,Market Share %,01-JAN-26,30-JUN-26,,All,All,,,,,,,,,,,,,ALL
Bi-Directional,FT Europe Intragroup 2015 POL03,01-JAN-2026,30-JUN-2026,United Kingdom,Poland,End of Agreement,Voice,MT,"Single Rate Effective (Voice, SMS, Data, VoLTE)","GBRME, GBROR",POL03,0.00000,Value,Net,EUR,No-Balancing,Actual,,,,01-JAN-26,30-JUN-26,,All,All,,,,,,,,,,,,,ALL
